słówko;tłumaczenie;lekcja
hacer;robić;Lección 11: Descubriendo el mundo
ir;iść, jechać;Lección 11: Descubriendo el mundo
luchar;walczyć;Lección 11: Descubriendo el mundo
obtener;otrzymywać;Lección 11: Descubriendo el mundo
pedir;prosić;Lección 11: Descubriendo el mundo
planificar;planować;Lección 11: Descubriendo el mundo
poder;móc;Lección 11: Descubriendo el mundo
preocuparse;niepokoić się;Lección 11: Descubriendo el mundo
saber;wiedzieć, umieć;Lección 11: Descubriendo el mundo
traer;przynosić;Lección 11: Descubriendo el mundo
traducir;tłumaczyć;Lección 11: Descubriendo el mundo
querer;pragnąć, chcieć;Lección 11: Descubriendo el mundo
venir;przybywać;Lección 11: Descubriendo el mundo
cercano/a;bliski/a;Lección 11: Descubriendo el mundo
decidido/a;zdecydowany/a;Lección 11: Descubriendo el mundo
exótico/a;egzotyczny/a;Lección 11: Descubriendo el mundo
mítico/a;mityczny/a;Lección 11: Descubriendo el mundo
siguiente;następny/a;Lección 11: Descubriendo el mundo
superviviente;uratowany/a;Lección 11: Descubriendo el mundo
aparecer;pojawiać się;Lección 12: La vida es una caja de sorpresas
aterrorizar;terroryzować, zastraszać;Lección 12: La vida es una caja de sorpresas
aumentar;zwiększać się;Lección 12: La vida es una caja de sorpresas
avergonzar;zawstydzać;Lección 12: La vida es una caja de sorpresas
casarse;wziąć ślub;Lección 12: La vida es una caja de sorpresas
crecer;rosnąć;Lección 12: La vida es una caja de sorpresas
desarrollar;rozwijać;Lección 12: La vida es una caja de sorpresas
descubrir;odkrywać;Lección 12: La vida es una caja de sorpresas
destruir;niszczyć;Lección 12: La vida es una caja de sorpresas
disminuir;maleć;Lección 12: La vida es una caja de sorpresas
divorciarse;rozwodzić się;Lección 12: La vida es una caja de sorpresas
emigrar;emigrować;Lección 12: La vida es una caja de sorpresas
empeorar;pogarszać;Lección 12: La vida es una caja de sorpresas
enamorarse;zakochać się;Lección 12: La vida es una caja de sorpresas
enfadarse;złościć się, gniewać się;Lección 12: La vida es una caja de sorpresas
extinguirse;gasnąć;Lección 12: La vida es una caja de sorpresas
introducir;wprowadzać;Lección 12: La vida es una caja de sorpresas
inventar;wynaleźć;Lección 12: La vida es una caja de sorpresas
mejorar;polepszać;Lección 12: La vida es una caja de sorpresas
morir;umrzeć;Lección 12: La vida es una caja de sorpresas
nacer;urodzić się;Lección 12: La vida es una caja de sorpresas
conocer a un amigo;poznać przyjaciela;Lección 12: La vida es una caja de sorpresas
conseguir trabajo;zdobyć pracę;Lección 12: La vida es una caja de sorpresas
convertirse en;zmienić się w, stać się;Lección 12: La vida es una caja de sorpresas
dejar de (hacer algo);przestawać (coś robić);Lección 12: La vida es una caja de sorpresas
dejar frío/a;pozostać obojętnym/ą;Lección 12: La vida es una caja de sorpresas
dejar helado/a;wprawić w osłupienie;Lección 12: La vida es una caja de sorpresas
dejar indiferente;pozostać obojętnym;Lección 12: La vida es una caja de sorpresas
desaparecer;znikać;Lección 12: La vida es una caja de sorpresas
empezar a (hacer algo);zaczynać (coś robić);Lección 12: La vida es una caja de sorpresas
emocionarse;wzruszać się;Lección 12: La vida es una caja de sorpresas
helarse la sangre;zmrozić krew w żyłach;Lección 12: La vida es una caja de sorpresas
molestar;przeszkadzać;Lección 12: La vida es una caja de sorpresas
sacar de quicio;doprowadzać do szału;Lección 12: La vida es una caja de sorpresas
sacar los colores;zawstydzić;Lección 12: La vida es una caja de sorpresas
sorprender;zaskakiwać;Lección 12: La vida es una caja de sorpresas
tener hijos;mieć dzieci;Lección 12: La vida es una caja de sorpresas
terminar la carrera;ukończyć studia;Lección 12: La vida es una caja de sorpresas
quedarse en (el) paro;zostać bezrobotnym;Lección 12: La vida es una caja de sorpresas
comprometido/a;zaangażowany/a, zobowiązany/a;Lección 12: La vida es una caja de sorpresas
descubierto/a;odkryty/a;Lección 12: La vida es una caja de sorpresas
estudioso/a;pilny/a;Lección 12: La vida es una caja de sorpresas
expulsado/a;wyrzucony/a;Lección 12: La vida es una caja de sorpresas
demasiado/a;nadmierny/a;Lección 12: La vida es una caja de sorpresas
rebelde;zbuntowany/a;Lección 12: La vida es una caja de sorpresas
voluntario/a;ochotnik/czka, wolontariusz/ka;Lección 12: La vida es una caja de sorpresas
el apoyo;wsparcie;Lección 12: La vida es una caja de sorpresas
